Auction ID,APN,Legal Description,Property Address ,City,Zip Code,Minimum Bid,Auction Ends Apr 26th (ET),Full Address,location,point,latitude,longitude,altitude,Size,Hover_info
994945,019-421-09,"T18S R49E S1  LOTS 22-43, 45-52, 54-59 FURTHER    
DESCRIBED AS 36 MILLSITE CLAIMS IN THE UNKNOWN    
MINING DISTRICT P#27-2000-0064  N#52340           
LOT 22 (REDO 22-A)                                LOT 23 (REDO 23-A)                                LOT 24 (REDO 24-A)                                LOT 25 (REDO 25-A)                                
LOT 26 (REDO 26-A)                                LOT 27 (REDO 27-A)                                LOT 28 (REDO 28-A)                                LOT 29 (REDO 29-A)                                
LOT 30 (REDO 30-A)                                LOT 31 (REDO 31-A)                                LOT 32 (REDO 32-A)                                LOT 33 (REDO 33-A)                                
LOT 34 (REDO 34-A)                                LOT 35 (REDO 35-A)                                LOT 36 (REDO 36-A)                                LOT 37 (REDO 37-A)    
LOT 38 (REDO 38-A)                                LOT 39 (REDO 39-A)                                LOT 40 (REDO 40-A)                                LOT 41 (REDO 41-A)    
LOT 42 (REDO 42-A)                                LOT 43 (REDO 43-A)                                LOT 45 (REDO 45-A)                                LOT 46 (REDO 46-A)    
LOT 47 (REDO 47-A)                                LOT 48 (REDO 48-A)                                LOT 49 (REDO 49-A)                                LOT 50 (REDO 50-A)    
LOT 51 (REDO 51-A)                                LOT 52 (REDO 52-A)                                LOT 54 (REDO 54-A)                                LOT 55 (REDO 55-A)  
LOT 56 (REDO 56-A)                                LOT 57 (REDO 57-A)                                LOT 58 (RED0 58-A)                                 LOT 59 (REDO 59-A)  ",8161 S NEVADA HIGHWAY 373 ,ARMAGOSA VALLEY,89020.0," $ 4,013.00 ",  12:10 PM,"8161 S NEVADA HIGHWAY 373 , ARMAGOSA VALLEY, 89020.0","NV-373, Amargosa Valley, NV 89020, USA","(36.6437809, -116.400295, 0.0)",36.6437809,-116.400295,0.0,0,"0 -- AC, BID:  $ 4,013.00 "
994946,019-551-17,T16S R48E S15-NE SE NW NW  2.5 ACRES  P#1231216 ,3782 W BRUSHWOOD ST ,ARMAGOSA VALLEY,89020.0," $ 1,152.00 ",  12:10 PM,"3782 W BRUSHWOOD ST , ARMAGOSA VALLEY, 89020.0","3782 Brushwood Rd, Amargosa Valley, NV 89020, USA","(36.5665883, -116.5594722, 0.0)",36.5665883,-116.5594722,0.0,2.5 ,"2.5  -- AC, BID:  $ 1,152.00 "
994947,019-661-19,T16S R48E S15  F#521528 P.2    19.41AC  ,1320 N VALLEY VIEW BLVD ,ARMAGOSA VALLEY,89020.0," $ 2,269.00 ",  12:10 PM,"1320 N VALLEY VIEW BLVD , ARMAGOSA VALLEY, 89020.0","1320 N Valley View Blvd, Amargosa Valley, NV 89020, USA","(36.5778799, -116.5428757, 0.0)",36.5778799,-116.5428757,0.0,19.41,"19.41 -- AC, BID:  $ 2,269.00 "
994948,019-661-27,T16S R48E S15  F#648857 L2     2.3AC,1920 N SUNDALE LN ,ARMAGOSA VALLEY,89020.0," $ 1,224.00 ",  12:10 PM,"1920 N SUNDALE LN , ARMAGOSA VALLEY, 89020.0","N Sundale Ln, Nevada 89020, USA","(36.5798736, -116.5517955, 0.0)",36.5798736,-116.5517955,0.0,2.3,"2.3 -- AC, BID:  $ 1,224.00 "
994949,019-661-29,T16S R48E S15  F#648857 L.4    2.5AC  ,1790 N SUNDALE LN ,ARMAGOSA VALLEY,89020.0," $ 1,257.00 ",  12:10 PM,"1790 N SUNDALE LN , ARMAGOSA VALLEY, 89020.0","N Sundale Ln, Nevada 89020, USA","(36.5798736, -116.5517955, 0.0)",36.5798736,-116.5517955,0.0,2.5,"2.5 -- AC, BID:  $ 1,257.00 "
994950,019-661-37,T16S R48E S15  F#648859 L.4    2.0AC  ,1790 N CYPRESS ST ,ARMAGOSA VALLEY,89020.0," $ 1,177.00 ",  12:10 PM,"1790 N CYPRESS ST , ARMAGOSA VALLEY, 89020.0","Amargosa Valley, NV 89020, USA","(36.6437843, -116.4002815, 0.0)",36.6437843,-116.4002815,0.0,2.0,"2.0 -- AC, BID:  $ 1,177.00 "
994951,019-661-40,T16S R48E S15  F#695637 P.3    2.27AC ,1599 N VASSAR RD ,ARMAGOSA VALLEY,89020.0," $ 1,148.00 ",  12:10 PM,"1599 N VASSAR RD , ARMAGOSA VALLEY, 89020.0","Vassar Rd, Nevada 89020, USA","(36.5721624, -116.5518887, 0.0)",36.5721624,-116.5518887,0.0,2.27,"2.27 -- AC, BID:  $ 1,148.00 "
994952,019-661-42,T16S R48E S15  F#695638 P.1    2.06AC ,1720 N SUNDALE LN ,ARMAGOSA VALLEY,89020.0," $ 1,090.00 ",  12:10 PM,"1720 N SUNDALE LN , ARMAGOSA VALLEY, 89020.0","N Sundale Ln, Nevada 89020, USA","(36.5798736, -116.5517955, 0.0)",36.5798736,-116.5517955,0.0,2.06,"2.06 -- AC, BID:  $ 1,090.00 "
994953,019-661-44,T16S R48E S15  F#695638 P.3    2.45AC ,1630 N SUNDALE LN ,ARMAGOSA VALLEY,89020.0," $ 1,165.00 ",  12:10 PM,"1630 N SUNDALE LN , ARMAGOSA VALLEY, 89020.0","N Sundale Ln, Nevada 89020, USA","(36.5798736, -116.5517955, 0.0)",36.5798736,-116.5517955,0.0,2.45,"2.45 -- AC, BID:  $ 1,165.00 "
994954,019-661-47,T16S R48E S15  F#695639 P.2    2.26AC  ,1659 N SUNDALE LN ,ARMAGOSA VALLEY,89020.0," $ 1,129.00 ",  12:10 PM,"1659 N SUNDALE LN , ARMAGOSA VALLEY, 89020.0","N Sundale Ln, Nevada 89020, USA","(36.5798736, -116.5517955, 0.0)",36.5798736,-116.5517955,0.0,2.26,"2.26 -- AC, BID:  $ 1,129.00 "
994955,019-661-49,T16S R48E S15  F#695639 P.4     2.27AC ,3342 W SILVERADO RD ,ARMAGOSA VALLEY,89020.0," $ 1,131.00 ",  12:10 PM,"3342 W SILVERADO RD , ARMAGOSA VALLEY, 89020.0","Amargosa Valley, NV 89020, USA","(36.6437843, -116.4002815, 0.0)",36.6437843,-116.4002815,0.0,2.27,"2.27 -- AC, BID:  $ 1,131.00 "
994956,019-661-51,T16S R48E S15  F#695640 P.2     2.27AC  ,1660 N CYPRESS ST ,ARMAGOSA VALLEY,89020.0," $ 1,148.00 ",  12:10 PM,"1660 N CYPRESS ST , ARMAGOSA VALLEY, 89020.0","Amargosa Valley, NV 89020, USA","(36.6437843, -116.4002815, 0.0)",36.6437843,-116.4002815,0.0,2.27,"2.27 -- AC, BID:  $ 1,148.00 "
994957,019-661-53,T16S R48E S15  F#695640 P.4     2.06AC  ,3282 W SILVERADO RD ,ARMAGOSA VALLEY,89020.0," $ 1,106.00 ",  12:10 PM,"3282 W SILVERADO RD , ARMAGOSA VALLEY, 89020.0","Amargosa Valley, NV 89020, USA","(36.6437843, -116.4002815, 0.0)",36.6437843,-116.4002815,0.0,2.06,"2.06 -- AC, BID:  $ 1,106.00 "
994958,019-851-21,T16S R48E S3 F#722342 P.1       33.26AC ,3844 W HARVEST ST ,ARMAGOSA VALLEY,89020.0," $ 1,231.00 ",  12:10 PM,"3844 W HARVEST ST , ARMAGOSA VALLEY, 89020.0","Amargosa Valley, NV 89020, USA","(36.6437843, -116.4002815, 0.0)",36.6437843,-116.4002815,0.0,33.26,"33.26 -- AC, BID:  $ 1,231.00 "
994959,021-211-01,"T17S R52E S36 B.68 L.1-7   30,175sf +/-       (.693 ACRES)       ",14585 N POLK AVE ,CRYSTAL,89060.0," 2,117.00 ",  12:10 PM,"14585 N POLK AVE , CRYSTAL, 89060.0","14585 N Polk Ave, Fresno, CA 93722, USA","(36.84903449999999, -119.8875884, 0.0)",36.84903449999999,-119.8875884,0.0,.693 ,".693  -- AC, BID:  2,117.00 "
994960,021-212-01,"T17S R52E S36 B.62 L.1-8   34,000sf +/-       (.871 ACRES)",14505 N POLK AVE ,CRYSTAL,89060.0," 2,178.00 ",  12:10 PM,"14505 N POLK AVE , CRYSTAL, 89060.0","14505 N Polk Ave, Portland, OR 97203, USA","(45.5991805, -122.7401918, 0.0)",45.5991805,-122.7401918,0.0,.871 ,".871  -- AC, BID:  2,178.00 "
994961,021-213-01,"T17S R52E S36 B.56 L.1-8     34,000sf +/-     (.871 ACRES)",14419 N POLK AVE ,CRYSTAL,89060.0," 2,117.00 ",  12:10 PM,"14419 N POLK AVE , CRYSTAL, 89060.0","14419 N Polk Ave, Portland, OR 97203, USA","(45.5991805, -122.7401918, 0.0)",45.5991805,-122.7401918,0.0,.871 ,".871  -- AC, BID:  2,117.00 "
994962,021-214-01,T17S R52E S36 B.55 L.1-16 1.8AC  ,14419 N HOWARD AVE ,CRYSTAL,89060.0," 2,685.00 ",  12:10 PM,"14419 N HOWARD AVE , CRYSTAL, 89060.0","14419 N Howard Ave, Tampa, FL 33604, USA","(28.0180163, -82.48228399999999, 0.0)",28.0180163,-82.48228399999999,0.0,1.8,"1.8 -- AC, BID:  2,685.00 "
994963,021-215-01,T17S R52E S36 B.61 L.1-16  1.8AC  ,14505 N HOWARD AVE ,CRYSTAL,89060.0," 2,685.00 ",  12:10 PM,"14505 N HOWARD AVE , CRYSTAL, 89060.0","14505 N Howard Ave, Tampa, FL 33604, USA","(28.0180163, -82.48228399999999, 0.0)",28.0180163,-82.48228399999999,0.0,1.8,"1.8 -- AC, BID:  2,685.00 "
994964,021-216-01,T17S R52E S36 B.67 L.1-14  1.6AC ,14585 N HOWARD AVE ,CRYSTAL,89060.0," 2,559.00 ",  12:10 PM,"14585 N HOWARD AVE , CRYSTAL, 89060.0","14585 N Howard Ave, Tampa, FL 33604, USA","(28.0180163, -82.48228399999999, 0.0)",28.0180163,-82.48228399999999,0.0,1.6,"1.6 -- AC, BID:  2,559.00 "
994965,021-221-01,T17S R52E S36 B.50 L.1-8  ,14331 N POLK AVE ,CRYSTAL,89060.0," 2,143.00 ",  12:10 PM,"14331 N POLK AVE , CRYSTAL, 89060.0","14331 N Polk Ave, Portland, OR 97203, USA","(45.5991805, -122.7401918, 0.0)",45.5991805,-122.7401918,0.0,0,"0 -- AC, BID:  2,143.00 "
994966,021-222-01,T17S R52E S36 B.44 L.1-8  ,14245 N POLK AVE ,CRYSTAL,89060.0," 2,143.00 ",  12:10 PM,"14245 N POLK AVE , CRYSTAL, 89060.0","14245 N Polk Ave, Portland, OR 97203, USA","(45.5991805, -122.7401918, 0.0)",45.5991805,-122.7401918,0.0,0,"0 -- AC, BID:  2,143.00 "
994967,021-223-01,T17S R52E S36 B.38 L.1-8   ,14161 N POLK AVE ,CRYSTAL,89060.0," 2,143.00 ",  12:20 PM,"14161 N POLK AVE , CRYSTAL, 89060.0","14161 N Polk Ave, Portland, OR 97203, USA","(45.5991805, -122.7401918, 0.0)",45.5991805,-122.7401918,0.0,0,"0 -- AC, BID:  2,143.00 "
994968,021-226-01,"T17S R52E S36 B.49 L.1-16   80,000sf               (1.837 ACRES     ",14331 N HOWARD AVE ,CRYSTAL,89060.0," 2,714.00 ",  12:20 PM,"14331 N HOWARD AVE , CRYSTAL, 89060.0","14331 N Howard Ave, Tampa, FL 33604, USA","(28.0180163, -82.48228399999999, 0.0)",28.0180163,-82.48228399999999,0.0,1.837 ,"1.837  -- AC, BID:  2,714.00 "
994969,021-229-01,"T17S R52E S36 B.36 L.8,10,12,14&16 - PT  .065AC ",14180 N HOWARD AVE ,CRYSTAL,89060.0," 1,977.00 ",  12:20 PM,"14180 N HOWARD AVE , CRYSTAL, 89060.0","14180 N Howard Ave, Tampa, FL 33604, USA","(28.0180163, -82.48228399999999, 0.0)",28.0180163,-82.48228399999999,0.0,.065,".065 -- AC, BID:  1,977.00 "
994970,021-231-03,T17S R52E S36 B.65 pt L.12 & 14 EAST 1/2 LESS  STATE HIGHWAY 160  .109AC  JOHNNIE TOWNSITE  ,14608 N GOLDEN AVE ,CRYSTAL,89060.0, 640.00 ,  12:20 PM,"14608 N GOLDEN AVE , CRYSTAL, 89060.0","N Golden Ave, California 92404, USA","(34.1532021, -117.2621671, 0.0)",34.1532021,-117.2621671,0.0,.109,".109 -- AC, BID:  640.00 "
994971,021-233-01,T17S R52E S36 B.52 L.1-16  1.837AC  ,14417 N GLOBE AVE ,CRYSTAL,89060.0," 2,714.00 ",  12:20 PM,"14417 N GLOBE AVE , CRYSTAL, 89060.0","SW N Globe Ave, Port St. Lucie, FL 34953, USA","(27.2455639, -80.37786729999999, 0.0)",27.2455639,-80.37786729999999,0.0,1.837,"1.837 -- AC, BID:  2,714.00 "
994972,021-234-01,T17S R52E S36 B.58 L.1-16  1.837AC ,14501 N GLOBE AVE ,CRYSTAL,89060.0," 2,695.00 ",  12:20 PM,"14501 N GLOBE AVE , CRYSTAL, 89060.0","SW N Globe Ave, Port St. Lucie, FL 34953, USA","(27.2455639, -80.37786729999999, 0.0)",27.2455639,-80.37786729999999,0.0,1.837,"1.837 -- AC, BID:  2,695.00 "
994973,021-235-02,"T17S R52E S36 B.64 L.1, 3, 5, 7, 9, PT L.2, 4, 11  & 13 WEST 1/2  .8092AC  JOHNNIE TOWNSITE          ",14581 N GLOBE AVE ,CRYSTAL,89060.0," 1,980.00 ",  12:20 PM,"14581 N GLOBE AVE , CRYSTAL, 89060.0","SW N Globe Ave, Port St. Lucie, FL 34953, USA","(27.2455639, -80.37786729999999, 0.0)",27.2455639,-80.37786729999999,0.0,.8092,".8092 -- AC, BID:  1,980.00 "
994974,021-236-01,T17S R52E S36 B.63 L.1-14  1.345AC ,14580 N GLOBE AVE ,CRYSTAL,89060.0," 2,565.00 ",  12:20 PM,"14580 N GLOBE AVE , CRYSTAL, 89060.0","SW N Globe Ave, Port St. Lucie, FL 34953, USA","(27.2455639, -80.37786729999999, 0.0)",27.2455639,-80.37786729999999,0.0,1.345,"1.345 -- AC, BID:  2,565.00 "
994975,021-237-01,T17S R52E S36 B.57 L.1-16  1.516AC  ,14500 N GLOBE AVE ,CRYSTAL,89060.0," 2,695.00 ",  12:20 PM,"14500 N GLOBE AVE , CRYSTAL, 89060.0","SW N Globe Ave, Port St. Lucie, FL 34953, USA","(27.2455639, -80.37786729999999, 0.0)",27.2455639,-80.37786729999999,0.0,1.516,"1.516 -- AC, BID:  2,695.00 "
994976,021-238-01,T17S R52E S36 B.51 L.1-16  1.516AC  ,14416 N GLOBE AVE ,CRYSTAL,89060.0," 2,714.00 ",  12:20 PM,"14416 N GLOBE AVE , CRYSTAL, 89060.0","SW N Globe Ave, Port St. Lucie, FL 34953, USA","(27.2455639, -80.37786729999999, 0.0)",27.2455639,-80.37786729999999,0.0,1.516,"1.516 -- AC, BID:  2,714.00 "
994979,021-243-02,"T17S R52E S36 B.35 L.1,3,5,7,9,11&15 ALL & PART L.2,4,6,8,10,12,14&16  1.206AC                  ",14161 N HOWARD AVE ,CRYSTAL,89060.0," 2,143.00 ",  12:20 PM,"14161 N HOWARD AVE , CRYSTAL, 89060.0","14161 N Howard Ave, Tampa, FL 33604, USA","(28.0180163, -82.48228399999999, 0.0)",28.0180163,-82.48228399999999,0.0,1.206,"1.206 -- AC, BID:  2,143.00 "
994980,021-244-02,"T17S R52E S36 B.34 L.1,3,5-15  1.6AC  ",14161 N GLOBE AVE ,CRYSTAL,89060.0," 2,521.00 ",  12:20 PM,"14161 N GLOBE AVE , CRYSTAL, 89060.0","SW N Globe Ave, Port St. Lucie, FL 34953, USA","(27.2455639, -80.37786729999999, 0.0)",27.2455639,-80.37786729999999,0.0,1.6,"1.6 -- AC, BID:  2,521.00 "
994981,021-245-01,T17S R52E S36 B.40 L.1-16  1.8AC  ,14245 N GLOBE AVE ,CRYSTAL,89060.0," 2,714.00 ",  12:20 PM,"14245 N GLOBE AVE , CRYSTAL, 89060.0","SW N Globe Ave, Port St. Lucie, FL 34953, USA","(27.2455639, -80.37786729999999, 0.0)",27.2455639,-80.37786729999999,0.0,1.8,"1.8 -- AC, BID:  2,714.00 "
994982,021-246-01,T17S R52E S36 B.46 L.1-15  1.7AC ,14331 N GLOBE AVE ,CRYSTAL,89060.0," 2,647.00 ",  12:20 PM,"14331 N GLOBE AVE , CRYSTAL, 89060.0","SW N Globe Ave, Port St. Lucie, FL 34953, USA","(27.2455639, -80.37786729999999, 0.0)",27.2455639,-80.37786729999999,0.0,1.7,"1.7 -- AC, BID:  2,647.00 "
994983,021-247-01,T17S R52E S36 B.45 L.1-16  1.5AC    ,14330 N GLOBE AVE ,CRYSTAL,89060.0," 2,716.00 ",  12:20 PM,"14330 N GLOBE AVE , CRYSTAL, 89060.0","SW N Globe Ave, Port St. Lucie, FL 34953, USA","(27.2455639, -80.37786729999999, 0.0)",27.2455639,-80.37786729999999,0.0,1.5,"1.5 -- AC, BID:  2,716.00 "
994984,021-248-01,T17S R52E S36 B.39 L.1-16  1.5AC ,14244 N GLOBE AVE ,CRYSTAL,89060.0," 3,108.00 ",  12:20 PM,"14244 N GLOBE AVE , CRYSTAL, 89060.0","SW N Globe Ave, Port St. Lucie, FL 34953, USA","(27.2455639, -80.37786729999999, 0.0)",27.2455639,-80.37786729999999,0.0,1.5,"1.5 -- AC, BID:  3,108.00 "
994985,021-249-01,T17S R52E S36 B.33 L.1-16  1.5AC   ,14160 N GLOBE AVE ,CRYSTAL,89060.0," 2,716.00 ",  12:20 PM,"14160 N GLOBE AVE , CRYSTAL, 89060.0","SW N Globe Ave, Port St. Lucie, FL 34953, USA","(27.2455639, -80.37786729999999, 0.0)",27.2455639,-80.37786729999999,0.0,1.5,"1.5 -- AC, BID:  2,716.00 "
994986,021-251-01,T18S R52E S1  B.32 L.1-8  .781 AC ,14075 N POLK AVE ,CRYSTAL,89060.0," 2,342.00 ",  12:20 PM,"14075 N POLK AVE , CRYSTAL, 89060.0","14075 N Polk Ave, Portland, OR 97203, USA","(45.5991805, -122.7401918, 0.0)",45.5991805,-122.7401918,0.0,.781 ,".781  -- AC, BID:  2,342.00 "
994987,021-254-01,"T18S R52E S1  B.19 ALL L.2,4,6,8,10,12,14&16 &  PART L.3,5,7,9,11,13&15  .909 AC               ",13900 N POLK AVE ,CRYSTAL,89060.0," 2,342.00 ",  12:20 PM,"13900 N POLK AVE , CRYSTAL, 89060.0","13900 N Polk Ave, Portland, OR 97203, USA","(45.5991805, -122.7401918, 0.0)",45.5991805,-122.7401918,0.0,.909 ,".909  -- AC, BID:  2,342.00 "
